system,model,time_value,time_unit,compartment,state_or_marker,observation,outcome,evidence_type,source
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,21,dpi,panniculus bridge,alpha-SMA+ scaffold,panniculus-associated bridge remains intense,regenerative,histology,10.3390/cells15151370
MUS_FULL_THICKNESS_SKIN,adult CD-1 Mus 1-cm dorsal wound,21,dpi,upper wound dermis,alpha-SMA+ myofibroblasts,myofibroblasts largely disappear but collagenous scar persists,scar-forming,histology_counterexample,10.3390/cells15151370
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,28-35,dpi,panniculus bridge,alpha-SMA+ scaffold,bridge remains high for weeks during muscle reconstruction,regenerative,histology,10.3390/cells15151370
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,70,dpi,panniculus,architecture,panniculus muscle architecture regenerated,regenerative,late_histology,10.3390/cells15151370
ADULT_HEART_MI,adult mouse MI,2-4,dpi,infarct,fibroblast proliferation,resident cardiac fibroblast proliferation peaks and population expands approximately 3.5-fold,scar-forming,lineage_quantification,10.1172/JCI98215
ADULT_HEART_MI,adult mouse MI,3,dpi,infarct,alpha-SMA myofibroblast state,alpha-SMA state first appears,scar-forming,lineage_histology,10.1172/JCI98215
ADULT_HEART_MI,adult mouse MI,4-7,dpi,infarct,alpha-SMA myofibroblast state,myofibroblast state maximal with high ECM production,scar-forming,lineage_histology,10.1172/JCI98215
ADULT_HEART_MI,adult mouse MI,7-10,dpi,infarct,alpha-SMA myofibroblast state,proliferation stops and alpha-SMA declines as ECM scar matures,scar-forming,lineage_histology,10.1172/JCI98215
ADULT_HEART_MI,adult mouse MI,10+,dpi,mature scar,matrifibrocyte state,lineage-traced fibroblasts persist after alpha-SMA loss in stable scar-associated state,scar-forming,lineage_state_transition,10.1172/JCI98215
ADULT_HEART_MI,adult mouse MI,14,dpi,mature scar,alpha-SMA versus scar,alpha-SMA absent from lineage-traced fibroblasts while mature scar persists,scar-forming,decisive_counterexample,10.1172/JCI98215
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation WT,4,dpi,infarct,scar area,early scar quantified before major resolution,regenerative,preprint_quantification,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation WT,7,dpi,infarct,scar area,scar decreases approximately six-fold from day 4,regenerative,preprint_quantification,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation fibroblast-Erbb4 KO,7,dpi,infarct,scar area,scar also decreases but remains significantly larger than WT,delayed_resolution,causal_preprint,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation fibroblast-Erbb4 KO,10,dpi,infarct,scar/ECM output,residual scar larger; lower capillary density and higher Col1a1 than WT,delayed_resolution,causal_preprint,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation fibroblast-Erbb4 KO,21,dpi,infarct,residual scar,near-complete regeneration but residual scar remains significantly larger than WT,delayed_resolution,causal_preprint,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation myeloid-Erbb4 KO,4,dpi,infarct,scar area,scar approximately two-fold larger than WT,delayed_resolution,causal_preprint,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation myeloid-Erbb4 KO,7-10,dpi,infarct,scar/ECM remodeling,scar remains larger with altered Mmp2/Mmp9 profile,delayed_resolution,causal_preprint,10.64898/2026.07.29.741639
NEONATAL_HEART_MI_2026_PREPRINT,P1 mouse LAD ligation myeloid-Erbb4 KO,21,dpi,infarct,residual scar,residual scar converges toward WT near-complete resolution,regenerative_recovery,causal_preprint,10.64898/2026.07.29.741639
